फिल्म,{'text': 'movie'}
रैसिपी,{'text': 'gets'}
सम्मान,{'text': 'respect'}
यकीन,{'text': 'sure'}
बहुत,{'text': 'lot'}
यादगार,{'text': 'memorable'}
उद्धरण,{'text': 'quotes'}
सूचीबद्ध,{'text': 'listed'}
रत्न,{'text': 'gem'}
कल्पना,{'text': 'imagine'}
जो,{'text': 'joe'}
Piscopo,{'text': 'piscopo'}
दरअसल,{'text': 'actually'}
मजे़दार,{'text': 'funny'}
मॉरीन,{'text': 'maureen'}
stapleton,{'text': 'stapleton'}
दृश्य,{'text': 'scene'}
चोर,{'text': 'stealer'}
Moroni,{'text': 'moroni'}
चरित्र,{'text': 'character'}
पूर्ण,{'text': 'absolute'}
चीख,{'text': 'scream'}
देखो,{'text': 'watch'}
एलन,{'text': 'alan'}
कप्तान,{'text': 'skipper'}
हेल,{'text': 'hale'}
जूनियर,{'text': 'jr'}
पुलिस,{'text': 'police'}
सार्जेंट,{'text': 'sgt'}
विचित्र,{'text': 'bizarre'}
डरावना,{'text': 'horror'}
भरा,{'text': 'filled'}
प्रसिद्ध,{'text': 'famous'}
चेहरे,{'text': 'faces'}
चोरी,{'text': 'stolen'}
क्रिस्टीना,{'text': 'cristina'}
रािाणें,{'text': 'raines'}
बाद,{'text': 'later'}
टीवी,{'text': 'tv'}
फ्लेमिंगो,{'text': 'flamingo'}
सड़क,{'text': 'road'}
सुंदर,{'text': 'pretty'}
कुछ,{'text': 'somewhat'}
अस्थिर,{'text': 'unstable'}
मॉडल,{'text': 'model'}
चिपचिपा,{'text': 'gummy'}
मुस्कान,{'text': 'smile'}
उम्मीद,{'text': 'slated'}
भुगतान,{'text': 'pay'}
प्रयास,{'text': 'attempted'}
आत्महत्या,{'text': 'suicides'}
पहरा,{'text': 'guarding'}
गेटवे,{'text': 'gateway'}
नरक,{'text': 'hell'}
दृश्यों,{'text': 'scenes'}
मॉडलिंग,{'text': 'modeling'}
कैप्चर,{'text': 'captured'}
मूड,{'text': 'mood'}
संगीत,{'text': 'music'}
सही,{'text': 'perfect'}
दबोरा,{'text': 'deborah'}
Raffin,{'text': 'raffin'}
आकर्षक,{'text': 'charming'}
पाल,{'text': 'pal'}
चाल,{'text': 'moves'}
